Date,Open,High,Low,Close,Adj Close,Volume
2010-06-28,3.800000,6.084000,3.508000,3.840000,3.840000,246560000
2010-07-05,4.000000,4.000000,2.996000,3.480000,3.480000,127753000
2010-07-12,3.590000,4.300000,3.380000,4.128000,4.128000,77194500
2010-07-19,4.274000,4.450000,3.900000,4.258000,4.258000,35878500
2010-07-26,4.300000,4.300000,3.910000,3.988000,3.988000,15260000
2010-08-02,4.100000,4.436000,3.904000,3.918000,3.918000,21998500
2010-08-09,3.980000,3.996000,3.478000,3.664000,3.664000,21083000
2010-08-16,3.690000,3.918000,3.652000,3.820000,3.820000,12050500
2010-08-23,3.818000,4.078000,3.712000,3.940000,3.940000,15389500
2010-08-30,3.940000,4.260000,3.866000,4.210000,4.210000,11752500
2010-09-06,4.122000,4.210000,3.952000,4.034000,4.034000,6473000
2010-09-13,4.178000,4.632000,3.960000,4.046000,4.046000,27915500
2010-09-20,4.134000,4.310000,3.900000,4.020000,4.020000,19767000
2010-09-27,4.080000,4.430000,4.010000,4.120000,4.120000,31979500
2010-10-04,4.086000,4.256000,4.060000,4.086000,4.086000,8489000
2010-10-11,4.088000,4.206000,4.006000,4.108000,4.108000,6564500
2010-10-18,4.104000,4.190000,4.000000,4.144000,4.144000,6493500
2010-10-25,4.188000,4.374000,4.102000,4.368000,4.368000,8203500
2010-11-01,4.388000,5.066000,4.210000,4.888000,4.888000,20179500
2010-11-08,4.900000,6.100000,4.806000,5.968000,5.968000,46004000
2010-11-15,6.044000,6.588000,5.684000,6.198000,6.198000,34135500
2010-11-22,6.314000,7.200000,6.300000,7.064000,7.064000,24415500
2010-11-29,7.082000,7.284000,6.174000,6.298000,6.298000,39172500
2010-12-06,6.270000,6.584000,5.912000,6.304000,6.304000,20405500
2010-12-13,6.328000,6.354000,5.552000,6.272000,6.272000,22610500
2010-12-20,6.328000,6.572000,5.984000,6.018000,6.018000,18435000
2010-12-27,5.604000,5.716000,5.000000,5.326000,5.326000,100682000
2011-01-03,5.368000,5.716000,5.180000,5.648000,5.648000,41131000
2011-01-10,5.634000,5.742000,5.122000,5.150000,5.150000,29664500
2011-01-17,5.096000,5.128000,4.474000,4.608000,4.608000,37450500
2011-01-24,4.706000,5.016000,4.646000,4.802000,4.802000,29703000
2011-01-31,4.810000,4.946000,4.630000,4.692000,4.692000,15818000
2011-02-07,4.652000,5.050000,4.558000,4.650000,4.650000,42531000
2011-02-14,4.728000,5.098000,4.512000,4.636000,4.636000,56705000
2011-02-21,4.576000,4.770000,4.222000,4.722000,4.722000,30359000
2011-02-28,4.748000,4.998000,4.700000,4.990000,4.990000,25206000
2011-03-07,4.986000,5.080000,4.706000,4.814000,4.814000,31530500
2011-03-14,4.764000,4.800000,4.360000,4.592000,4.592000,26325000
2011-03-21,4.610000,4.610000,4.354000,4.550000,4.550000,12238000
2011-03-28,4.540000,5.742000,4.510000,5.332000,5.332000,87097000
2011-04-04,5.366000,5.588000,5.046000,5.298000,5.298000,59176000
2011-04-11,5.294000,5.306000,4.840000,5.116000,5.116000,29326000
2011-04-18,5.026000,5.396000,4.872000,5.348000,5.348000,19029500
2011-04-25,5.340000,5.574000,5.194000,5.520000,5.520000,27619000
2011-05-02,5.520000,5.560000,5.150000,5.424000,5.424000,24716000
2011-05-09,5.400000,5.790000,5.330000,5.510000,5.510000,23518500
2011-05-16,5.598000,5.688000,5.104000,5.594000,5.594000,31085000
2011-05-23,5.524000,5.952000,5.234000,5.910000,5.910000,55972000
2011-05-30,5.938000,6.300000,5.676000,6.026000,6.026000,60079500
2011-06-06,6.020000,6.026000,5.404000,5.572000,5.572000,42094500
2011-06-13,5.614000,5.940000,5.148000,5.300000,5.300000,40940000
2011-06-20,5.258000,5.650000,5.100000,5.514000,5.514000,46439500
2011-06-27,5.546000,5.920000,5.462000,5.804000,5.804000,29810000
2011-07-04,5.804000,6.000000,5.710000,5.762000,5.762000,22457000
2011-07-11,5.680000,5.818000,5.450000,5.516000,5.516000,24776000
2011-07-18,5.468000,6.088000,5.326000,5.858000,5.858000,32606500
2011-07-25,5.802000,5.850000,5.500000,5.634000,5.634000,21396500
2011-08-01,5.734000,5.840000,4.566000,4.848000,4.848000,47688500
2011-08-08,4.620000,5.428000,4.620000,5.262000,5.262000,36758500
2011-08-15,5.324000,5.350000,4.400000,4.460000,4.460000,21759500
2011-08-22,4.622000,4.790000,4.300000,4.746000,4.746000,19905000
2011-08-29,4.844000,5.100000,4.536000,4.614000,4.614000,18057000
2011-09-05,4.500000,4.806000,4.458000,4.594000,4.594000,12220000
2011-09-12,4.500000,5.168000,4.490000,5.160000,5.160000,20518000
2011-09-19,4.990000,5.390000,4.764000,5.276000,5.276000,26288000
2011-09-26,5.304000,5.398000,4.698000,4.878000,4.878000,22991500
2011-10-03,4.990000,5.520000,4.586000,5.398000,5.398000,32668500
2011-10-10,5.462000,5.710000,5.400000,5.610000,5.610000,25333000
2011-10-17,5.572000,5.686000,5.342000,5.606000,5.606000,23447000
2011-10-24,5.574000,6.000000,5.480000,5.974000,5.974000,21194500
2011-10-31,5.900000,6.498000,5.600000,6.462000,6.462000,40935500
2011-11-07,6.328000,6.900000,6.060000,6.728000,6.728000,40017500
2011-11-14,6.600000,7.000000,6.508000,6.520000,6.520000,31510000
2011-11-21,6.488000,6.558000,6.210000,6.332000,6.332000,12278000
2011-11-28,6.400000,6.798000,6.326000,6.660000,6.660000,19328000
2011-12-05,6.706000,7.000000,5.922000,6.208000,6.208000,36657500
2011-12-12,6.088000,6.186000,5.596000,5.600000,5.600000,23233500
2011-12-19,5.618000,5.700000,5.206000,5.580000,5.580000,25683000
2011-12-26,5.532000,5.868000,5.528000,5.712000,5.712000,10903500
2012-01-02,5.788000,5.900000,5.282000,5.382000,5.382000,17750000
2012-01-09,5.400000,5.724000,4.528000,4.558000,4.558000,42354000
2012-01-16,5.324000,5.548000,5.250000,5.320000,5.320000,39102000
2012-01-23,5.362000,5.944000,5.288000,5.866000,5.866000,20416500
2012-01-30,5.898000,6.266000,5.706000,6.230000,6.230000,18894000
2012-02-06,6.220000,6.580000,5.968000,6.220000,6.220000,27243500
2012-02-13,6.310000,6.994000,6.180000,6.994000,6.994000,46634500
2012-02-20,6.974000,6.994000,6.500000,6.750000,6.750000,22853500
2012-02-27,6.682000,6.900000,6.600000,6.808000,6.808000,15037000
2012-03-05,6.870000,7.062000,6.524000,6.948000,6.948000,17962000
2012-03-12,6.938000,7.318000,6.920000,7.064000,7.064000,25586500
2012-03-19,7.052000,7.064000,6.630000,6.816000,6.816000,19414000
2012-03-26,7.118000,7.990000,7.008000,7.448000,7.448000,41587500
2012-04-02,7.466000,7.694000,6.882000,6.896000,6.896000,40589500
2012-04-09,6.820000,6.896000,6.402000,6.718000,6.718000,31462000
2012-04-16,6.682000,6.746000,6.306000,6.632000,6.632000,23174500
2012-04-23,6.572000,6.726000,6.200000,6.668000,6.668000,16469000
2012-04-30,6.654000,6.878000,6.280000,6.366000,6.366000,18295000
2012-05-07,6.392000,6.936000,5.874000,6.450000,6.450000,64903500
2012-05-14,6.384000,6.426000,5.366000,5.512000,5.512000,34946000
2012-05-21,5.516000,6.268000,5.424000,5.962000,5.962000,34472000
2012-05-28,6.002000,6.386000,5.552000,5.630000,5.630000,24808500
2012-06-04,5.606000,6.038000,5.422000,6.016000,6.016000,19724500
2012-06-11,6.062000,6.200000,5.724000,5.982000,5.982000,17840500
2012-06-18,5.988000,6.900000,5.900000,6.758000,6.758000,52644000
2012-06-25,6.788000,6.824000,6.124000,6.258000,6.258000,35997500
2012-07-02,6.270000,6.360000,6.038000,6.198000,6.198000,21504500
2012-07-09,6.188000,6.880000,6.134000,6.850000,6.850000,23690000
2012-07-16,6.864000,7.200000,6.212000,6.358000,6.358000,50998000
2012-07-23,6.210000,6.260000,5.528000,5.902000,5.902000,48323000
2012-07-30,5.902000,6.050000,5.104000,5.454000,5.454000,38736000
2012-08-06,5.510000,6.180000,5.510000,5.988000,5.988000,33021500
2012-08-13,5.938000,6.260000,5.762000,6.002000,6.002000,16830500
2012-08-20,6.030000,6.170000,5.800000,5.900000,5.900000,28083000
2012-08-27,5.914000,5.940000,5.600000,5.704000,5.704000,23941000
2012-09-03,5.704000,5.914000,5.562000,5.870000,5.870000,15933500
2012-09-10,5.840000,6.130000,5.460000,6.078000,6.078000,33323500
2012-09-17,6.470000,6.556000,5.908000,6.004000,6.004000,44161000
2012-09-24,5.902000,6.206000,5.496000,5.856000,5.856000,73057500
2012-10-01,5.900000,6.020000,5.730000,5.778000,5.778000,25730500
2012-10-08,5.772000,5.880000,5.500000,5.528000,5.528000,20122500
2012-10-15,5.604000,5.798000,5.372000,5.548000,5.548000,21922000
2012-10-22,5.598000,5.712000,5.404000,5.476000,5.476000,16453500
2012-10-29,5.540000,5.910000,5.474000,5.784000,5.784000,14148000
2012-11-05,5.960000,6.410000,5.866000,6.064000,6.064000,41122000
2012-11-12,6.058000,6.424000,6.032000,6.368000,6.368000,21591000
2012-11-19,6.414000,6.694000,6.340000,6.426000,6.426000,18542000
2012-11-26,6.420000,6.858000,6.304000,6.764000,6.764000,27277500
